dimensions,lloydL1ians misc,lloydL1ians misc err_bar,lloydL1ians-L1 misc,lloydL1ians-L1 misc err_bar,kmeans misc,kmeans missc err_bar,lloydL1ians acd,lloydL1ians acd err_bar,lloydL1ians-L1 acd,lloydL1ians-L1 acd err_bar,kmeans acd,kmeans acd err_bar
2,0.3459955,0.003937261955486517,0.35500149999999997,0.0038796697417526763,0.4091595,0.004410934151155186,6.222600399478812,0.28743139192822764,5.915925191213956,0.2564082796241945,42.27720429562913,0.9507731281114127
4,0.23164749999999998,0.0036208117697331356,0.248944,0.00357409532109994,0.3269335,0.004342165821501625,5.203646848190267,0.3374314022834793,4.553682711262103,0.2548973735913846,47.41576792538004,1.0909052415912055
6,0.199916,0.0033968790980448624,0.22076350000000003,0.0033462686077919204,0.32010249999999996,0.004234913562782362,5.983022026814925,0.44488159600341526,4.617604066653039,0.2806011212117347,54.65353640280012,1.2275447607849266
8,0.1835275,0.003247387953318482,0.20652399999999999,0.0031028858270983283,0.3202295,0.0041432567516862286,6.494011172378766,0.5131500124826686,4.75184456706844,0.33336279479410236,62.694201392254946,1.3476731348021513
10,0.17799,0.003179444422657518,0.202961,0.0029834863479937827,0.33760999999999997,0.004240136490271038,7.6546338133716665,0.6102472885954073,5.135508550939311,0.36006214177949497,74.04519415400905,1.472526618447263
12,0.17185899999999998,0.003098016278444979,0.204033,0.0029825948503307514,0.351517,0.0041288372276024055,8.924891455065445,0.7239208457834764,5.9486546579649335,0.4316994111745116,85.17257142902375,1.555897417045741
14,0.171302,0.0030993261658726263,0.20509650000000001,0.0029576762952040706,0.363641,0.004042523459967805,10.398178107079154,0.8264169247098496,6.483937931043152,0.46149571051227034,96.74400902251695,1.6711072909816622
16,0.17028600000000002,0.0030604231953272865,0.20754099999999998,0.0029474787747588746,0.38092450000000005,0.004087550658610107,12.436152251799877,0.9777078350097668,7.619492583192671,0.5473369970002243,109.30905982023133,1.8219798500358453
18,0.171798,0.003117381348893767,0.21184899999999998,0.0029835640832426708,0.394515,0.004051788142231526,13.847521744415012,1.0530188611098497,8.102196806487628,0.5623450627802752,120.97734876797334,1.8984341489636398
20,0.17693699999999998,0.00320436599394918,0.21716099999999997,0.003000076940862897,0.416717,0.004034755752838023,17.41270124403379,1.2538668409783902,8.776997932649573,0.606187780317011,135.4732255166479,2.000047730718378
