outlier rad,lloydL1ians misc,lloydL1ians misc err_bar,lloydL1ians-L1 misc,lloydL1ians-L1 misc err_bar,kmeans misc,kmeans missc err_bar,lloydL1ians acd,lloydL1ians acd err_bar,lloydL1ians-L1 acd,lloydL1ians-L1 acd err_bar,kmeans acd,kmeans acd err_bar
0.0,0.0050685,0.00021161929980623222,0.007497,0.0002720378199536233,0.005078,0.0002400082480689361,0.2202307407745967,0.0013301968327834477,0.21747064850101938,0.0013385205409130133,0.3196166575909262,0.0036268523106176174
10.0,0.005189,0.00022006493687382368,0.0076205,0.0002796271349521001,0.006305000000000001,0.0004892954418671811,0.2620258718827684,0.0017674026172666126,0.25304281643648047,0.0016829162179719814,0.5418312461461537,0.01633178468625406
20.0,0.0060895,0.00041770238673572357,0.0082675,0.0003868974405472334,0.024349000000000003,0.001808743646959314,0.4629343667345731,0.02240734808813319,0.4034993194198767,0.014115641930754975,2.331699620690889,0.10379920474717043
30.0,0.0091615,0.0008023133379457679,0.011485,0.0008004637480410965,0.11053550000000001,0.0036927210925230625,0.9812258969039683,0.07315510885363444,0.8873544214883513,0.07242064227212136,11.576170943983318,0.32011701997191927
40.0,0.0155435,0.0012991158435745752,0.019408,0.00139323523509116,0.235837,0.0034814049369221505,2.2691312746993515,0.19187036207347308,2.334871287881134,0.20403502757526656,33.72540915091549,0.4180868498429535
50.0,0.0225005,0.001680888560793939,0.030103,0.0019382560586499195,0.2906635,0.002636119998398722,4.621730100401487,0.3784280187178138,5.554805800192209,0.43050846063486314,59.25564875569043,0.2967623429356559
60.0,0.027987,0.001926257313630222,0.038435000000000004,0.0022375811494218484,0.29399349999999996,0.002579893614042734,7.860772348052357,0.6169555218432706,10.191007865837287,0.7165614450556496,84.67124811506297,0.32037009228160185
70.0,0.03242949999999999,0.0020993038894017986,0.047432499999999995,0.0025240282608049378,0.294512,0.0026067394833396602,12.06039454880658,0.9081102399841811,17.330596461187767,1.0947495291742642,114.64504562262248,0.3738467565141158
80.0,0.036667,0.0022526490888737016,0.054612,0.00271751112020428,0.2949215,0.002616198806096371,17.774650168411874,1.2751101869198989,26.293606459529204,1.5368158280147721,149.70107559641883,0.4460866716149928
90.0,0.0402105,0.0023578192179954595,0.061058999999999995,0.002900538900224935,0.2957055,0.002642884817977189,24.83434103145844,1.705964141978992,37.28646571153548,2.0500422189199834,189.73380943835295,0.5043168097646956
100.0,0.04285,0.0024352856055912617,0.066935,0.003034664053540029,0.2965125,0.0026667323215407274,32.73284045483702,2.1837793647148014,51.08167471495328,2.6505525317012393,234.86359651248208,0.5862781246147343
