dimensions,lloydL1ians misc,lloydL1ians misc err_bar,lloydL1ians-L1 misc,lloydL1ians-L1 misc err_bar,kmeans misc,kmeans missc err_bar,lloydL1ians acd,lloydL1ians acd err_bar,lloydL1ians-L1 acd,lloydL1ians-L1 acd err_bar,kmeans acd,kmeans acd err_bar
2,0.286765,0.0032405305734598457,0.28687349999999995,0.003168410323722494,0.345067,0.0041640328477824855,1.3616743804676736,0.047383929836737664,1.2195207682113733,0.0529322073902258,32.54948131845172,0.9771261916394975
4,0.17389100000000002,0.0020224237218323168,0.1853285,0.0019805697369343193,0.21903000000000003,0.0032015637503744945,0.8499251331478547,0.014501971935736916,0.8177551766619339,0.012557727320657653,19.011921148180402,0.8453993605653297
6,0.14577400000000001,0.0014670605692771105,0.1636695,0.001494783310682294,0.185021,0.0027257951992713755,0.9053200243875115,0.011134827868391284,0.9235379495230199,0.010411694822926339,15.069171183017275,0.7839205913704197
8,0.133609,0.0011893187681316054,0.1556705,0.0012525609006293948,0.1685295,0.0023711004518766217,1.0488192399111615,0.010079914125027086,1.088998946364189,0.009941690950446565,13.421215451524343,0.7503723698275218
10,0.127279,0.0010531772010838822,0.1527525,0.0011227455850717025,0.1629495,0.0022639432536068387,1.2092120787958345,0.009598241302476291,1.2717274472249294,0.009850142611751458,13.548773928955582,0.7692630491745366
12,0.1224185,0.0009369403183909205,0.1504845,0.0010047563007869718,0.15656550000000002,0.002131661607768719,1.3790349825815813,0.009684426610196159,1.4467034513254873,0.009807100921751933,13.39647513909411,0.7600216661234405
14,0.12035,0.0008655824688612864,0.150377,0.0009359396592979271,0.15469349999999998,0.0020768431001619934,1.563926927316511,0.009793434460706862,1.6486164967551071,0.010487179665784383,13.746949175922888,0.7882839187079256
16,0.11944299999999998,0.0008137976887951453,0.1512435,0.000898321673977913,0.15374700000000002,0.002024174281697384,1.7348812806112242,0.01019074514384242,1.8331114381311877,0.010608324705520387,14.052364775568265,0.8012981892180794
18,0.1177315,0.00077799787686245,0.1514405,0.0008700970538251006,0.1533535,0.0020401293975344016,1.9055641818069577,0.010406274218455351,2.021922372257674,0.011238643210238347,14.638813441897865,0.8279859319057151
20,0.1178865,0.0007692104179154622,0.153054,0.0008410880856954758,0.157531,0.002140494371691848,2.0962002485135534,0.010782534701350233,2.2127735804704183,0.01152176333592376,16.760191811431824,0.921750012260714
