outlier std,lloydL1ians misc,lloydL1ians misc err_bar,lloydL1ians-L1 misc,lloydL1ians-L1 misc err_bar,kmeans misc,kmeans missc err_bar,lloydL1ians acd,lloydL1ians acd err_bar,lloydL1ians-L1 acd,lloydL1ians-L1 acd err_bar,kmeans acd,kmeans acd err_bar
1.0,0.204998,0.0027863821450990387,0.24253549999999996,0.0027131214587122194,0.16521550000000002,0.0024504244693985405,4.235990492576282,0.07750627858985568,4.542368690577773,0.07466093562603016,2.2515790864686074,0.06680478840347995
2.0,0.1599185,0.002491477975866229,0.200078,0.0026983568385113782,0.152159,0.0023856917942982657,2.291534139519185,0.08803931638740678,2.6916889159858344,0.09099359713620174,1.7898606676042008,0.08097865330820853
4.0,0.1629145,0.0027174768367639714,0.1960395,0.0027368062168061365,0.16807249999999999,0.00284418503229273,2.666341705497095,0.11912213896795065,2.832492973011324,0.11064920016679879,3.0755619814576205,0.13191808781068795
6.0,0.167206,0.0028716172058079886,0.19722399999999998,0.002810057861264725,0.20283600000000002,0.0033911350079501817,3.200372535595877,0.156835477816845,3.124515511216361,0.12583701913280104,9.162855155593864,0.3699747659812723
8.0,0.17326399999999997,0.0030267932691033393,0.20062199999999997,0.0029186437744413278,0.26273,0.00391813114531303,4.787129567861591,0.3278017481424868,3.7642990932107248,0.18587526002844013,31.18021264727885,0.8939154005240685
10.0,0.17799,0.003179444422657518,0.202961,0.0029834863479937827,0.33760999999999997,0.004240136490271038,7.6546338133716665,0.6102472885954073,5.135508550939311,0.36006214177949497,74.04519415400905,1.472526618447263
12.0,0.1811875,0.0032687662931983985,0.20625550000000004,0.0030749142492040847,0.416975,0.004199259347527847,11.920578576933769,0.9962688637559364,7.404036284967951,0.6156418027711691,144.7081042391153,2.138647731440975
14.0,0.18621200000000002,0.0034061020256219454,0.209637,0.0031749711110562752,0.49247399999999997,0.004043825034965742,18.096398113722486,1.491674895671646,10.369316780479885,0.9215649163508579,246.70797656095885,2.886762892597355
16.0,0.1913745,0.0035345169153998854,0.212169,0.0032523420435883552,0.562316,0.003800001389967914,26.214502165621216,2.0824861556775054,15.136067400710925,1.3430063978632962,384.31218626078424,3.729224931297831
18.0,0.1939325,0.003608274209721594,0.21457849999999998,0.003313899940393505,0.62047,0.003412388887643377,36.56859525863611,2.7961340078587726,20.263591657787806,1.7915003353196717,556.9252653489627,4.660511340441786
20.0,0.197291,0.003701120351652196,0.217185,0.003371435678913065,0.6637025,0.003009959593628791,47.809899957820754,3.5654986374896063,26.688319790800534,2.3047592006979087,754.933898862825,5.582351365722308
