outlier rad,lloydL1ians misc,lloydL1ians misc err_bar,lloydL1ians-L1 misc,lloydL1ians-L1 misc err_bar,kmeans misc,kmeans missc err_bar,lloydL1ians acd,lloydL1ians acd err_bar,lloydL1ians-L1 acd,lloydL1ians-L1 acd err_bar,kmeans acd,kmeans acd err_bar
0.0,0.159959,0.00250929199123061,0.2004225,0.002714248697683762,0.15166,0.0023763796731599935,2.2968579126731545,0.08854731079295043,2.7079721926680995,0.0919428483977527,1.7762252995975614,0.08087139985156927
10.0,0.17146399999999998,0.0026371046804435504,0.20607399999999998,0.002711175130993879,0.164734,0.0025588675257523746,3.1460205777445323,0.10607323894151618,3.3001238009097222,0.10226394960014472,2.696880165320359,0.10016461841866715
20.0,0.2268895,0.0030440530303627628,0.250753,0.002909823220411357,0.23072200000000004,0.0029687289593826375,8.530074087323493,0.20432653379016696,8.083984504562002,0.19186361262317883,8.850597366050597,0.20217199970801047
30.0,0.306985,0.00284291595301866,0.327797,0.002701704736950565,0.3197,0.0025439346568652266,22.10038779636961,0.29545617302889793,21.919660835960922,0.2901575388666296,23.46963837061943,0.2612521111055319
40.0,0.356414,0.00248618341496867,0.3761575,0.0023646506804308326,0.36395299999999997,0.0023385644194464945,40.9462208182109,0.2907016317577024,41.03567157622071,0.2792136912663605,42.00731275023341,0.2412232550887641
50.0,0.37345900000000004,0.0024797951167574465,0.391784,0.0023303225196830758,0.376722,0.00249693149241166,62.40898416512198,0.2997280844107731,62.530060829805045,0.28051589982377034,62.9144351413772,0.29199350669246205
60.0,0.382119,0.0025319148967333947,0.399808,0.0024135278182468743,0.3847825,0.0026029754071181695,87.91181650285615,0.3377139332399416,87.84384229184,0.33055381081057195,88.46478765462977,0.3741361102046081
70.0,0.387202,0.002588396317666736,0.40582799999999997,0.0024671050933637016,0.39058250000000005,0.002657457446624875,118.12756536632581,0.38760921907105356,118.12295811574315,0.3842803603264846,118.67691279245838,0.4285370343803567
80.0,0.39178199999999996,0.0026241833834929145,0.40987049999999997,0.0025012003003920978,0.395929,0.002725127071301241,153.07018131747023,0.4460537489072221,153.31112343420338,0.4308153417467403,154.2575640922825,0.5301343681737436
90.0,0.39521300000000004,0.0026627578728246996,0.4130309999999999,0.002526354929245786,0.400044,0.002760209700970649,193.19628830365744,0.5198730260036055,193.4204476827206,0.4728422169679058,194.67836261528475,0.6336965288448821
100.0,0.397775,0.0026865461789814817,0.41549899999999995,0.002541246539073232,0.40322300000000005,0.002789509331057116,238.4535757587371,0.5803437351664443,238.35461529818392,0.51403598858845,240.1883456368939,0.7412888458273834
